,weather1,weather2,wind1,wind2,aircraft_weight_class1,aircraft_weight_class2,ground_traffic1,ground_traffic2,air_traffic_congestion1,air_traffic_congestion2,caculated_minima
0,cat_1,cat_1,headwind,headwind,heavy,super,average,average,regular,regular,3.2
1,cat_1,cat_1,headwind,headwind,super,heavy,average,average,regular,regular,6.5
2,cat_1,cat_1,headwind,headwind,heavy,light,average,average,regular,regular,6.5
3,cat_1,cat_1,headwind,headwind,light,heavy,average,average,regular,regular,3.1
4,cat_1,cat_1,headwind,headwind,heavy,medium,average,average,regular,regular,5.4
5,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
6,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
7,cat_1,cat_1,headwind,headwind,medium,heavy,average,average,regular,regular,3.2
8,cat_1,cat_1,headwind,headwind,heavy,medium,average,average,regular,regular,5.4
9,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
10,cat_1,cat_1,headwind,headwind,medium,super,average,average,regular,regular,3.0
11,cat_1,cat_1,headwind,headwind,super,heavy,average,average,regular,regular,6.5
12,cat_1,cat_1,headwind,headwind,heavy,super,average,average,regular,regular,3.2
13,cat_1,cat_1,headwind,headwind,super,light,average,average,regular,regular,8.0
14,cat_1,cat_1,headwind,headwind,light,medium,average,average,regular,regular,3.2
15,cat_1,cat_1,headwind,headwind,medium,heavy,average,average,regular,regular,3.2
16,cat_1,cat_1,headwind,headwind,heavy,medium,average,average,regular,regular,5.4
17,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
18,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
19,cat_1,cat_1,headwind,headwind,medium,light,average,high,regular,max,5.6000000000000005
20,cat_1,cat_1,headwind,headwind,light,medium,high,high,max,max,3.2
21,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
22,cat_1,cat_1,headwind,headwind,medium,light,high,high,max,max,5.4
23,cat_1,cat_1,headwind,headwind,light,medium,high,high,max,max,3.2
24,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
25,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
26,cat_1,cat_1,headwind,headwind,medium,super,high,high,max,max,3.0
27,cat_1,cat_1,headwind,headwind,super,medium,high,high,max,max,7.0
28,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
29,cat_1,cat_1,headwind,headwind,medium,heavy,high,high,max,max,3.2
30,cat_1,cat_1,headwind,headwind,heavy,heavy,high,high,max,max,5.0
31,cat_1,cat_1,headwind,headwind,heavy,light,high,high,max,max,6.5
32,cat_1,cat_1,headwind,headwind,light,heavy,high,high,max,max,3.1
33,cat_1,cat_1,headwind,headwind,heavy,medium,high,high,max,max,5.4
34,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
35,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
36,cat_1,cat_1,headwind,headwind,medium,heavy,high,high,max,max,3.2
37,cat_1,cat_1,headwind,headwind,heavy,heavy,high,high,max,max,5.0
38,cat_1,cat_1,headwind,headwind,heavy,heavy,high,high,max,max,5.0
39,cat_1,cat_1,headwind,headwind,heavy,heavy,high,average,max,regular,4.8
40,cat_1,cat_1,headwind,headwind,heavy,heavy,average,average,regular,regular,5.0
41,cat_1,cat_1,headwind,headwind,heavy,medium,average,average,regular,regular,5.4
42,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
43,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
44,cat_1,cat_1,headwind,headwind,medium,medium,average,average,regular,regular,5.0
45,cat_1,cat_1,headwind,headwind,medium,heavy,average,average,regular,regular,3.2
46,cat_1,cat_1,headwind,headwind,heavy,medium,average,average,regular,regular,5.4
47,cat_1,cat_1,headwind,headwind,medium,heavy,average,average,regular,regular,3.2
48,cat_1,cat_1,headwind,headwind,heavy,medium,average,average,regular,regular,5.4
49,cat_1,cat_1,headwind,tailwind,medium,heavy,average,average,regular,regular,3.0
50,cat_1,cat_1,tailwind,tailwind,heavy,heavy,average,average,regular,regular,5.0
51,cat_1,cat_1,tailwind,tailwind,heavy,medium,average,average,regular,regular,5.4
52,cat_1,cat_1,tailwind,tailwind,medium,heavy,average,average,regular,regular,3.2
53,cat_1,cat_1,tailwind,tailwind,heavy,medium,average,average,regular,regular,5.4
54,cat_1,cat_1,tailwind,tailwind,medium,heavy,average,average,regular,regular,3.2
55,cat_1,cat_1,tailwind,tailwind,heavy,heavy,average,average,regular,regular,5.0
56,cat_1,cat_1,tailwind,tailwind,heavy,light,average,average,regular,regular,6.5
57,cat_1,cat_1,tailwind,tailwind,light,medium,average,average,regular,regular,3.2
58,cat_1,cat_1,tailwind,tailwind,medium,medium,average,average,regular,regular,5.0
59,cat_1,cat_1,tailwind,headwind,medium,light,average,high,regular,max,5.800000000000001
60,cat_1,cat_1,headwind,headwind,light,light,high,high,max,max,5.0
61,cat_1,cat_1,headwind,headwind,light,super,high,high,max,max,3.0
62,cat_1,cat_1,headwind,headwind,super,medium,high,high,max,max,7.0
63,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
64,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
65,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
66,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
67,cat_1,cat_1,headwind,headwind,medium,light,high,high,max,max,5.4
68,cat_1,cat_1,headwind,headwind,light,heavy,high,high,max,max,3.1
69,cat_1,cat_1,headwind,crosswind,heavy,medium,high,high,max,max,5.0
70,cat_1,cat_1,crosswind,crosswind,medium,medium,high,high,max,max,5.0
71,cat_1,cat_1,crosswind,crosswind,medium,medium,high,high,max,max,5.0
72,cat_1,cat_1,crosswind,crosswind,medium,medium,high,high,max,max,5.0
73,cat_1,cat_1,crosswind,crosswind,medium,light,high,high,max,max,5.4
74,cat_1,cat_1,crosswind,crosswind,light,medium,high,high,max,max,3.2
75,cat_1,cat_1,crosswind,crosswind,medium,medium,high,high,max,max,5.0
76,cat_1,cat_1,crosswind,crosswind,medium,medium,high,high,max,max,5.0
77,cat_1,cat_1,crosswind,crosswind,medium,heavy,high,high,max,max,3.2
78,cat_1,cat_1,crosswind,crosswind,heavy,heavy,high,high,max,max,5.0
79,cat_1,cat_1,crosswind,headwind,heavy,medium,high,high,max,max,5.800000000000001
80,cat_1,cat_1,headwind,headwind,medium,heavy,high,high,max,max,3.2
81,cat_1,cat_1,headwind,headwind,heavy,medium,high,high,max,max,5.4
82,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
83,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
84,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
85,cat_1,cat_1,headwind,headwind,medium,medium,high,high,max,max,5.0
86,cat_1,cat_1,headwind,headwind,medium,heavy,high,high,max,max,3.2
87,cat_1,cat_1,headwind,headwind,heavy,medium,high,high,max,max,5.4
