,weather1,weather2,wind1,wind2,aircraft_weight_class1,aircraft_weight_class2,ground_traffic1,ground_traffic2,air_traffic_congestion1,air_traffic_congestion2,caculated_minima
0,cat_3,cat_3,headwind,headwind,light,light,high,high,max,max,6
1,cat_3,cat_3,headwind,headwind,light,medium,high,high,max,max,4.2
2,cat_3,cat_3,headwind,headwind,medium,heavy,high,high,max,max,4.2
3,cat_3,cat_3,headwind,headwind,heavy,medium,high,high,max,max,6.4
4,cat_3,cat_3,headwind,headwind,medium,medium,high,high,max,max,6
5,cat_3,cat_3,headwind,headwind,medium,medium,high,high,max,max,6
6,cat_3,cat_3,headwind,headwind,medium,super,high,high,max,max,4
7,cat_3,cat_3,headwind,headwind,super,medium,high,high,max,max,8
8,cat_3,cat_3,headwind,headwind,medium,heavy,high,high,max,max,4.2
9,cat_3,cat_3,headwind,headwind,heavy,medium,high,high,max,max,6.4
10,cat_3,cat_3,headwind,headwind,medium,medium,high,high,max,max,6
11,cat_3,cat_3,headwind,headwind,medium,heavy,high,high,max,max,4.2
12,cat_3,cat_3,headwind,headwind,heavy,medium,high,high,max,max,6.4
13,cat_3,cat_3,headwind,headwind,medium,medium,high,high,max,max,6
14,cat_3,cat_3,headwind,headwind,medium,heavy,high,high,max,max,4.2
15,cat_3,cat_3,headwind,headwind,heavy,medium,high,high,max,max,6.4
16,cat_3,cat_3,headwind,headwind,medium,medium,high,high,max,max,6
17,cat_3,cat_3,headwind,headwind,medium,medium,high,high,max,max,6
18,cat_3,cat_3,headwind,headwind,medium,heavy,high,high,max,max,4.2
19,cat_3,cat_3,headwind,headwind,heavy,heavy,high,average,max,regular,5.8
20,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
21,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
22,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
23,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
24,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
25,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
26,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
27,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
28,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
29,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
30,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
31,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
32,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
33,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
34,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
35,cat_3,cat_3,headwind,headwind,medium,super,average,average,regular,regular,4
36,cat_3,cat_3,headwind,headwind,super,heavy,average,average,regular,regular,7.5
37,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
38,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
39,cat_3,cat_3,headwind,tailwind,medium,medium,average,average,regular,regular,5.8
40,cat_3,cat_3,tailwind,tailwind,medium,heavy,average,average,regular,regular,4.2
41,cat_3,cat_3,tailwind,tailwind,heavy,medium,average,average,regular,regular,6.4
42,cat_3,cat_3,tailwind,tailwind,medium,medium,average,average,regular,regular,6
43,cat_3,cat_3,tailwind,tailwind,medium,heavy,average,average,regular,regular,4.2
44,cat_3,cat_3,tailwind,tailwind,heavy,medium,average,average,regular,regular,6.4
45,cat_3,cat_3,tailwind,tailwind,medium,medium,average,average,regular,regular,6
46,cat_3,cat_3,tailwind,tailwind,medium,heavy,average,average,regular,regular,4.2
47,cat_3,cat_3,tailwind,tailwind,heavy,medium,average,average,regular,regular,6.4
48,cat_3,cat_3,tailwind,tailwind,medium,heavy,average,average,regular,regular,4.2
49,cat_3,cat_3,tailwind,headwind,heavy,medium,average,average,regular,regular,6.6000000000000005
50,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
51,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
52,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
53,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
54,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
55,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
56,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
57,cat_3,cat_3,headwind,headwind,heavy,heavy,average,average,regular,regular,6
58,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
59,cat_3,cat_3,headwind,tailwind,medium,heavy,average,low,regular,regular,3.8
60,cat_3,cat_3,tailwind,tailwind,heavy,medium,low,low,regular,regular,6.4
61,cat_3,cat_3,tailwind,tailwind,medium,medium,low,low,regular,regular,6
62,cat_3,cat_3,tailwind,tailwind,medium,light,low,low,regular,regular,6.4
63,cat_3,cat_3,tailwind,tailwind,light,medium,low,low,regular,regular,4.2
64,cat_3,cat_3,tailwind,tailwind,medium,heavy,low,low,regular,regular,4.2
65,cat_3,cat_3,tailwind,tailwind,heavy,medium,low,low,regular,regular,6.4
66,cat_3,cat_3,tailwind,tailwind,medium,heavy,low,low,regular,regular,4.2
67,cat_3,cat_3,tailwind,tailwind,heavy,medium,low,low,regular,regular,6.4
68,cat_3,cat_3,tailwind,tailwind,medium,medium,low,low,regular,regular,6
